Title,Image Link,Release,Rating,Metacritic,Description,Audience,Directors,Runtime,Genres
Gone with the Wind,https://www.metacritic.com/a/img/resize/8054e70e810ce503cca4426ddba4bf29b410bc85/catalog/provider/2/2/2-bd76e04c5a52abbbc01c2eec0c5d1445.jpg?auto=webp&fit=cover&height=132&width=88,1940,Approved,97.0,"A Southern belle struggles with the devastation of the Civil War and Reconstruction. This classic won 8 Academy Awards, including Best Picture.",8.2,"Victor Fleming,

      George Cukor,

      Sam Wood",3 h 58 m,"['Drama', 'Romance', 'War']"
The Third Man,https://www.metacritic.com/a/img/resize/8fe6ac3a2d7e652dfbe49140e389422189055a08/catalog/provider/2/2/2-4cabb3a923ea32388056693093bed1c0.jpg?auto=webp&fit=cover&height=132&width=88,1949,TV-PG,97.0,"Pulp novelist Holly Martins travels to shadowy, postwar Vienna, only to find himself investigating the mysterious death of an old friend, Harry Lime.",8.4,Carol Reed,1 h 44 m,"['Film-Noir', 'Mystery', 'Thriller']"
"Quo Vadis, Aida?",https://www.metacritic.com/a/img/resize/67f596420e44e7f6abe1ca872155f7c52c905fcb/catalog/provider/2/2/2-ce052d31ece8e28d24d4d09e62745b2a.jpg?auto=webp&fit=cover&height=132&width=88,2021,Approved,97.0,"Bosnia, July 11th 1995.  Aida is a translator for the United Nations in the small town of Srebrenica. When the Serbian army takes over the town, her family is among the thousands of citizens looking for shelter in the UN camp. As an insider to the negotiations Aida has access to crucial information that she needs to interpret. What is at the horizon for her family and people - rescue or death? Which move should she take? [Super LTD]",8.1,Jasmila Zbanic,1 h 41 m,"['Drama', 'History', 'War']"
Psycho,https://www.metacritic.com/a/img/resize/55db70482df04f4689970442796fcc78d0cac55b/catalog/provider/2/2/2-0a64812fb15c85c9e7d9ab09f04238cb.jpg?auto=webp&fit=cover&height=132&width=88,1960,Approved,97.0,"A Phoenix secretary embezzles $40,000 from her employer's client, goes on the run, and checks into a remote motel run by a young man, Norman Bates (Anthony Perkins) under the domination of his mother.",7.6,Gus Van Sant,1 h 45 m,"['Horror', 'Mystery', 'Thriller']"
Rififi (re-release),https://www.metacritic.com/a/img/resize/052e9eb876c8c6e9ee6b256a448a54c0e69fc87d/catalog/provider/2/2/2-1cd98bbe0c5d28b7b8b502176df7e3da.jpg?auto=webp&fit=cover&height=132&width=88,2000,Rated,97.0,"A reissue of a classic French caper thriller in which Tony, fresh out of prison, teams with three cohorts to pull off a major jewel heist which goes awry.  The film's title is slang for ""rough stuff,"" and it's robbery sequence is famous for its exciting, completely silent robbery scene.",8.1,Jules Dassin,1 h 58 m,"['Crime', 'Drama', 'Thriller']"
"4 Months, 3 Weeks and 2 Days",https://www.metacritic.com/a/img/resize/3884dc40fc69a72e0f15b2308fa3446966c3978a/catalog/provider/2/2/2-808bb3acc87fc9a62e456c127fc1b970.jpg?auto=webp&fit=cover&height=132&width=88,2008,Rated,97.0,"During the final days of communism in Romania, two college roommates Otilia and Gabita are busy preparing for a night away. But rather than planning for a holiday, they are making arrangements for Gabita's illegal abortion and unwittingly, both find themselves burrowing deep down a rabbit hole of unexpected revelations. [IFC Films]",8.0,Cristian Mungiu,1 h 53 m,['Drama']
Parasite,https://www.metacritic.com/a/img/resize/7862e358c60d7e99e4ba408cbd21714f54ec933a/catalog/provider/2/2/2-8a8e64076621c48ff9f12f5bf72085e1.jpg?auto=webp&fit=cover&height=132&width=88,2019,R,97.0,"Meet the Park Family: the picture of aspirational wealth. And the Kim Family, rich in street smarts but not much else. Be it chance or fate, these two houses are brought together and the Kims sense a golden opportunity. Masterminded by college-aged Ki-woo, the Kim children expediently install themselves as tutor and art therapist, to the Parks. Soon, a symbiotic relationship forms between the two families. The Kims provide “indispensable” luxury services while the Parks obliviously bankroll their entire household. When a parasitic interloper threatens the Kims’ newfound comfort, a savage, underhanded battle for dominance breaks out, threatening to destroy the fragile ecosystem between the Kims and the Parks. [Neon]",8.7,Bong Joon Ho,2 h 12 m,"['Drama', 'Thriller']"
Battleship Potemkin,https://www.metacritic.com/a/img/resize/5a3790ad5a5c4051de310b672e79d92af53ff37d/catalog/provider/2/2/2-c1d187a23ece23b2621bb66c0ec2c0ec.jpg?auto=webp&fit=cover&height=132&width=88,1926,TV-14,97.0,"In the midst of the Russian Revolution of 1905, the crew of the battleship Potemkin mutiny against the brutal, tyrannical regime of the vessel's officers. The resulting street demonstration in Odessa brings on a police massacre.",8.6,Sergei Eisenstein,1 h 15 m,"['Drama', 'History', 'Thriller', 'War']"
A Streetcar Named Desire,https://www.metacritic.com/a/img/resize/86da70fc0e428a1dce3dcfc388eece1957ba55e5/catalog/provider/2/2/2-3476fff1b9fc43b6cec744b6c86cbfcf.jpg?auto=webp&fit=cover&height=132&width=88,1951,Approved,97.0,Disturbed Blanche DuBois (Vivien Leigh) moves in with her sister in New Orleans and is tormented by her brutish brother-in-law (Marlon Brando) while her reality crumbles around her.,8.3,Elia Kazan,2 h 2 m,['Drama']
The Maltese Falcon,https://www.metacritic.com/a/img/resize/aabae540584f8c69b693dc2ac573c186414f3019/catalog/provider/2/2/2-f65d871d24ea277fabdb10aeadc8f7cb.jpg?auto=webp&fit=cover&height=132&width=88,1941,Approved,97.0,"A private detective (Humphrey Bogart) takes on a case that involves him with three eccentric criminals, a gorgeous liar, and their quest for a priceless statuette.",8.4,John Huston,1 h 40 m,"['Crime', 'Film-Noir', 'Mystery', 'Romance']"
American Graffiti,https://www.metacritic.com/a/img/resize/713eaf4c0da69f303a8e97f0519d4c50bf63b7f7/catalog/provider/2/2/2-891efd95c050f5ae313d6815d65db777.jpg?auto=webp&fit=cover&height=132&width=88,1973,PG,97.0,A couple of high school grads spend one final night cruising the strip with their buddies before they go off to college.,7.3,George Lucas,1 h 50 m,"['Comedy', 'Drama']"
12 Angry Men,https://www.metacritic.com/a/img/resize/3a57cda6490be352cf378c2a99a073ad7e94ea8a/catalog/provider/2/2/2-1cae6130894eccd56830e768b5309828.jpg?auto=webp&fit=cover&height=132&width=88,1957,Approved,97.0,"12 Angry Men, by Sidney Lumet, is a behind-closed-doors look at the American legal system. This iconic adaptation of Reginald Rose’s teleplay stars Henry Fonda as the dissenting member on a jury of white men ready to pass judgment on a Puerto Rican teenager charged with murdering his father. The result is a saga of epic proportions that plays out over a tense afternoon in one sweltering room.",8.8,Sidney Lumet,1 h 36 m,"['Crime', 'Drama']"
Dumbo,https://www.metacritic.com/a/img/resize/30352f5130d2ec69b3e349633bcf4c1ed3abb74b/catalog/provider/2/2/2-9f8a39870181350540b7cd9f091740fd.jpg?auto=webp&fit=cover&height=132&width=88,1941,Approved,96.0,"This simple animated tale is set in a circus and spotlights a baby elephant, Dumbo, who is mocked and ridiculed because his ears are too big, only to be assisted by a mouse to achieve his full potential.",5.8,Tim Burton,1 h 52 m,"['Adventure', 'Family', 'Fantasy']"
Roma,https://www.metacritic.com/a/img/resize/f2e3b442a846a5e0ae37630e4a70a90fc8f1b33d/catalog/provider/2/2/2-fa3f31a9ee082f5962bf3d1c401bafb9.jpg?auto=webp&fit=cover&height=132&width=88,2018,R,96.0,"Roma follows Cleo (Yalitza Aparicio), a young domestic worker for a family in the middle-class neighborhood of Roma in Mexico City. Delivering an artful love letter to the women who raised him, Cuarón draws on his own childhood to create a vivid and emotional portrait of domestic strife and social hierarchy amidst political turmoil of the 1970s. [Netflix]",7.6,Alfonso Cuarón,2 h 15 m,['Drama']
